Product_ID,Product_Name,Category_Name,Times_Ordered,Total_Units_Sold,Total_Revenue,Total_Profit,Profit_Margin_Percent
14,"Gourmet Burger","Lunch Mains",3,3,58.50,35.10,60.00
10,"Big Breakfast","Breakfast Items",3,3,56.70,34.20,60.32
15,"Caesar Salad","Lunch Mains",3,3,47.70,31.80,66.67
12,"Pancakes Stack","Breakfast Items",3,3,42.60,28.20,66.20
16,"Fish and Chips","Lunch Mains",2,2,45.80,27.40,59.83
1,Cappuccino,"Hot Beverages",5,8,36.00,26.40,73.33
21,"Chocolate Brownie",Desserts,3,4,35.60,25.20,70.79
17,"Chicken Wrap","Lunch Mains",2,2,27.60,17.80,64.49
11,"Avocado Toast","Breakfast Items",2,2,25.00,16.60,66.40
13,"Breakfast Burrito","Breakfast Items",2,2,23.60,15.40,65.25
2,Latte,"Hot Beverages",4,4,19.20,14.00,72.92
19,Bruschetta,"Light Meals",2,2,19.00,13.20,69.47
18,"Soup of the Day","Light Meals",2,2,17.80,12.20,68.54
20,"Cheese Toastie","Light Meals",2,2,15.60,11.20,71.79
29,"Vegan Burger","Vegan Options",1,1,17.90,11.10,62.01
30,"Coconut Curry","Vegan Options",1,1,16.50,10.60,64.24
28,"Quinoa Salad","Healthy Options",1,1,14.50,9.30,64.14
6,"Iced Coffee","Cold Beverages",3,3,12.60,8.85,70.24
7,"Green Smoothie","Cold Beverages",2,2,13.00,8.80,67.69
27,"Acai Bowl","Healthy Options",1,1,12.90,8.40,65.12
22,"Cheesecake Slice",Desserts,1,1,9.50,6.40,67.37
8,"Fresh Orange Juice","Cold Beverages",2,2,9.60,6.40,66.67
3,"Flat White","Hot Beverages",2,2,8.40,6.10,72.62
24,Croissant,Pastries,1,1,4.80,3.50,72.92
26,"Danish Pastry",Pastries,1,1,5.20,3.50,67.31
4,"Hot Chocolate","Hot Beverages",1,1,5.20,3.40,65.38
5,"Earl Grey Tea","Hot Beverages",1,1,3.80,2.90,76.32
25,"Blueberry Muffin",Pastries,1,1,4.20,2.70,64.29
9,"Iced Tea","Cold Beverages",1,1,3.50,2.55,72.86
23,"Apple Pie",Desserts,1,1,4.20,1.80,42.86
31,"Pumpkin Spice Latte","Seasonal Specials",0,NULL,NULL,NULL,NULL
